Tweet,Pos,Neg
"rt ibelieve1968 lindadavis breaking libyan officials claim us was warned 3 days before deadly benghazi consulate attack httptco 
",0.0,-0.1111111111111111
"rt katyinindy if you need a state department warning telling you not to travel to the middle east youre probably an obama voter p2
",0.0,-0.08333333333333333
"niall me encanta obama una vez vino a irlanda y dijo uno de su carismaticos discursos y me enamore od1dfamily∞
",0.0,0.0
"rt thugpickles if obama lose im packing all my shit and moving to bikini bottom fuck the bullshit 
",0.05555555555555555,0.0
"republican women for obama who also like think progress moveon and bernie sanders great vetting team o
",0.11764705882352941,0.0
"rt lacedza illuminati killed mike jackson barack obama aware of all their precise action
",0.14285714285714285,0.0
"obama campaign answers better off question in latest ad httptco2xm5n8ul via politico delusions of adequacy tcot lnyhbt
",0.058823529411764705,-0.058823529411764705
"questlove why arent you attacking obama for taking $1 million from billmaher who made antimuslim film religulous jennajameson
",0.0,0.0
"rt dennisdmz compared to the constant divisiveness of the obama campaign the hatfields and the mccoys looked like they were sharing a bed
",0.0,-0.043478260869565216
"rt tunxcvii rft lol i was told we betta vote for obama cause if romney wins we all gon be at icdc college with lil romeo
",0.0,0.0
"blbback obama killed bin laden got most of our troops back home gave us better health care what else yall want him to do free boosie
",0.07692307692307693,0.0
"no me imagino a obama llorando en la campana presidencial que papelazo hugo
",0.0,0.0
"virginia elementary school rejects michelle obama request to speak  httptcops9vi8hk your saturday evening lol patriots tcot teaparty
",0.0,0.0
"rt borowitzreport for the fox news viewers who still think obama is a muslim this must be a confusing time
",0.0,-0.05
"rt chirpleft obama  obama  obama obama  obama  obama obama  obama  obama obama  obama  obama obama  obama  obama obama 
",0.0,0.0
"rt mikedrucker how amazing would it be if president obama turned around and said one more thing and then revealed the iphone 5 dnc
",0.041666666666666664,0.0
"obamas frankenstein by camie davis httptcom1bfnzjq obama treason islam
",0.0,-0.1111111111111111
"uk expelled libyan diplomats but obama and the us nope dont want any hurt feelings feckless obama tcot
",0.0,-0.1111111111111111
"rt truthserumusa gop not obama to blame for divisiveness httptcortjdvud1 election2012 independents moderates tcot p2 top 
",0.0625,-0.125
"president obama in golden colorado i was born to a single mom httptcoohctmoha obama changes his roots story again
",0.05263157894736842,0.0
"rt weirdreport dems think that claiming obama had fewer embassy attacks than w makes it true and how little obama has given them to  
",0.041666666666666664,-0.041666666666666664
"rt barackobama rt if youre supporting president obama in this election httptcoeeekhtfk
",0.0,0.0
"rt mediaite fox news panelist obama slept through 3 am phone call while hillary clinton picked it up video httptcoibe5fcke
",0.0,0.0
"great article on time spent with president obama by michael lewis obamae28099s way 7c vanity fair   via vanityfair
",0.1111111111111111,-0.05555555555555555
"4996 members or groups for obama  voicesforournation obamabiden2012  4 more and we reach 5000 thats awesome
",0.0625,0.0
"rt comedyandtruth obama prolly called romney and said i dont see how you can hate from outside the white house you cant even get in 
",0.08,0.0
"libyan officials us was warned 3 days before deadly benghazi attack httptco5lzf5ljf latino hispanic clcs ucot la losangles npr
",0.0,-0.10526315789473684
"rt lovelyyiisbee whoever own pandora must not support obama at all its always a romney add on there bashing himyou never see 
",0.045454545454545456,0.0
"rt edwarddumas name a right that you dont have today that you had before president obama
",0.0625,0.0
"bill to impeach obama for illegally attacking lybia libya romney obama ndaa  httptco4ktflyrg
",0.0,-0.07692307692307693
"obama said the united states will never retreat from the worldthe pentagon rushed to bolster security at missions abroad via reuters
",0.09523809523809523,-0.047619047619047616
